|PPM 188455|05 47 45.384|-09 40 10.92| 0.0001| -0.0020|  2.1|B0        |F    |STAR B0|
|PPM 133563|17 34 56.088|+12 33 36.00| 0.0082| -0.2260|  2.1|A5        |F    |STAR A5|
|PPM 128576|11 49 03.576|+14 34 19.20|-0.0342| -0.1140|  2.1|A2        |F    |STAR A2|
|PPM 89441 |00 08 23.256|+29 05 25.44| 0.0104| -0.1630|  2.1|A0        |D F  |STAR A0|
|PPM 66010 |01 09 43.920|+35 37 13.80| 0.0146| -0.1130|  2.1|M0        |D F  |STAR M0|
|PPM 45864 |03 08 10.128|+40 57 20.52| 0.0003| -0.0010|  2.1|B8        |D F  |STAR B8|
|PPM 8758  |14 50 42.336|+74 09 19.80|-0.0076|  0.0120|  2.1|K5        |D F  |STAR K5|
|PPM 313999|09 07 59.784|-43 25 57.36|-0.0017|  0.0130|  2.2|K5        |D F  |STAR K5|
|PPM 175888|05 32 00.408|-00 17 56.76| 0.0001| -0.0020|  2.2|B0        |F    |STAR B0|
|PPM 104146|15 34 41.280|+26 42 52.92| 0.0091| -0.0890|  2.2|A0        |F    |STAR A0|
|PPM 59799 |20 22 13.704|+40 15 24.12| 0.0003|  0.0000|  2.2|F8        |D F  |STAR F8|
|PPM 36267 |17 56 36.360|+51 29 20.04|-0.0008| -0.0190|  2.2|K5        |D F  |STAR K5|
|PPM 25578 |00 40 30.456|+56 32 14.64| 0.0064| -0.0320|  2.2|K0        |D F  |STAR K0|
|PPM 337789|09 17 05.400|-59 16 31.08|-0.0026|  0.0080|  2.3|F0        |F    |STAR F0|
|PPM 342130|13 39 53.256|-53 27 59.04|-0.0032| -0.0160|  2.3|B1        |D F  |STAR B1|
|PPM 319805|14 41 55.776|-47 23 17.52|-0.0021| -0.0180|  2.3|B2        |D F  |STAR B2|
|PPM 319680|14 35 30.432|-42 09 28.44|-0.0031| -0.0350|  2.3|B3        |F    |STAR B3|
|PPM 312524|08 03 35.040|-40 00 11.52|-0.0024|  0.0120|  2.3|O3        |F    |STAR O3|
|PPM 295532|16 50 09.816|-34 17 35.88|-0.0493| -0.2550|  2.3|K0        |F    |STAR K0|
|PPM 264979|16 00 20.016|-22 37 18.12|-0.0008| -0.0220|  2.3|B0        |F    |STAR B0|
